name,temp,dod,c_dch,soc_max,stage,cap_0,norm_cu_1,norm_cu_2,norm_cu_3,target_retention,final_retention,n_checkups
TP_z18_01_s2,45,0.6,0.6,0.8,2,4.822,0.9924512650352549,0.9811074243052675,0.976856076316881,0.9635835752799667,0.9201368726669431,10
TP_z18_02,45,0.6,0.6,0.8,1,4.8235,0.9908157976573029,0.9715766559552192,0.9636985591375556,0.9415569607131751,0.8548771638851456,10
TP_z18_02_s2,45,0.6,0.6,0.8,2,4.825,0.9924974093264248,0.9813678756476684,0.9770569948186527,0.9644559585492228,0.9203937823834196,10
TP_z18_03,45,0.6,0.6,0.8,1,4.8293,0.9914273290124862,0.973826434472905,0.9657714368542024,0.9436771374733398,0.860414552833744,10
TP_z18_03_s2,45,0.6,0.6,0.8,2,4.8252,0.9925598938904088,0.9809956063997348,0.9764776589571418,0.9641880129321065,0.9200862140429413,10
TP_z19_01,45,0.1,0.9,0.3,1,4.8842,0.9976249948814546,0.991073256623398,0.9882682936816675,0.9808361655951846,0.9577617624175915,10
TP_z19_01_s2,45,0.1,0.9,0.3,2,4.8129,0.9914396725466974,0.9773109767499845,0.9707037337156392,0.9576139126098611,0.8853913440960752,11
TP_z19_02,45,0.1,0.9,0.3,1,4.8143,0.9906943896308912,0.9761543734291588,0.9688012795214258,0.9556529505847162,0.868952911118958,11
TP_z19_02_s2,45,0.1,0.9,0.3,2,4.9024,0.9970626631853785,0.990331266318538,0.987434725848564,0.9786635117493472,0.9559195496083551,10
TP_z19_03,45,0.1,0.9,0.3,1,4.9023,0.9969198131489301,0.9906574465047018,0.9877200497725558,0.9791730412255472,0.954980315362177,10
TP_z19_03_s2,45,0.1,0.9,0.3,2,4.8175,0.9908873897249612,0.974800207576544,0.9678463933575506,0.9529631551634666,0.8827400103788272,11
TP_z20_01_s2,45,0.2,0.9,0.7,2,4.8377,0.9937366930566179,0.9801765301692953,0.9742232879260806,0.9598982987783451,0.9237034127788,10
TP_z20_02_s2,45,0.2,0.9,0.7,2,4.8073,0.9942587315124914,0.9809872485594826,0.9755996089280887,0.9619328937241279,0.9256755351236662,10
TP_z20_03_s2,45,0.2,0.9,0.7,2,4.8383,0.9933654382737737,0.977822788996135,0.9716015956017608,0.9588285141475311,0.9130273029783189,10
TP_z21_01,45,0.15,1.3,0.6,1,4.8376,0.994604762692244,0.9826566892674053,0.9773027947742683,0.9646932363155284,0.926678518273524,10
TP_z21_01_s2,45,0.15,1.3,0.6,2,4.8496,0.9936077202243485,0.9811324645331574,0.976699109204883,0.9631722203893106,0.9188386671065656,10
TP_z21_02,45,0.15,1.3,0.6,1,4.8539,0.9943962586785883,0.9820968705576959,0.9764313232658274,0.9631842435979315,0.9247409299738354,10
TP_z21_02_s2,45,0.15,1.3,0.6,2,4.8407,0.9938851818951804,0.9820067345631829,0.9772966719689302,0.963435040386721,0.9191026091267791,10
TP_z21_03,45,0.15,1.3,0.6,1,4.8682,0.9943921778069924,0.981163469044,0.9756583542171644,0.9624501869274064,0.9235651780945731,10
TP_z21_03_s2,45,0.15,1.3,0.6,2,4.8279,0.9920462312806811,0.9803019946560617,0.9770500631744652,0.9638766337330932,0.9210422751092608,10
TP_z22_01,45,0.45,1.4,0.65,1,4.8044,0.993797352426942,0.9807260011655982,0.9746898676213471,0.9586628923486804,0.8995712263758222,10
TP_z22_01_s2,45,0.45,1.4,0.65,2,4.8237,0.9921222298235796,0.9802433816365032,0.9762837655741443,0.9651926944047102,0.9173456060700292,11
TP_z22_02,45,0.45,1.4,0.65,1,4.8319,0.9946811813158384,0.9830915374904282,0.9769862786895424,0.9606779941637864,0.902502121318736,10
TP_z22_02_s2,45,0.45,1.4,0.65,2,4.833,0.991806331471136,0.9801779433064348,0.9761018001241465,0.9647423960273123,0.9158907510862817,11
