name,serial,type,stage,temp,soc_max,dod,c_ch,c_dch,sampling,n_checkups,cap_initial,cap_final,retention_pct
TP_z16_02,TP_z16_02,z,1,45,0.75,0.4,0.7,0.2,cLH,10,4.7962,4.3735,91.19
TP_z16_02_s2,TP_z16_02,z,2,45,0.75,0.4,0.7,0.2,cLH,11,4.8163,4.2313,87.85
TP_z16_03,TP_z16_03,z,1,45,0.75,0.4,0.7,0.2,cLH,10,4.7968,4.3685,91.07
TP_z16_03_s2,TP_z16_03,z,2,45,0.75,0.4,0.7,0.2,cLH,11,4.8031,4.2127,87.71
TP_z17_01,TP_z17_01,z,1,45,0.8,0.35,0.8,0.4,cLH,8,4.8116,4.1757,86.78
TP_z17_01_s2,TP_z17_01,z,2,45,0.8,0.35,0.8,0.4,cLH,10,4.8077,4.279,89.0
TP_z17_02,TP_z17_02,z,1,45,0.8,0.35,0.8,0.4,cLH,8,4.7949,4.1684,86.93
TP_z17_02_s2,TP_z17_02,z,2,45,0.8,0.35,0.8,0.4,cLH,10,4.81,4.2671,88.71
TP_z17_03,TP_z17_03,z,1,45,0.8,0.35,0.8,0.4,cLH,8,4.8087,4.146,86.22
TP_z17_03_s2,TP_z17_03,z,2,45,0.8,0.35,0.8,0.4,cLH,10,4.8148,4.0837,84.82
TP_z18_01,TP_z18_01,z,1,45,0.8,0.6,0.8,0.6,cLH,10,4.7879,4.0759,85.13
TP_z18_01_s2,TP_z18_01,z,2,45,0.8,0.6,0.8,0.6,cLH,10,4.822,4.4369,92.01
TP_z18_02,TP_z18_02,z,1,45,0.8,0.6,0.8,0.6,cLH,10,4.8235,4.1235,85.49
TP_z18_02_s2,TP_z18_02,z,2,45,0.8,0.6,0.8,0.6,cLH,10,4.825,4.4409,92.04
TP_z18_03,TP_z18_03,z,1,45,0.8,0.6,0.8,0.6,cLH,10,4.8293,4.1552,86.04
TP_z18_03_s2,TP_z18_03,z,2,45,0.8,0.6,0.8,0.6,cLH,10,4.8252,4.4396,92.01
TP_z19_01,TP_z19_01,z,1,45,0.3,0.1,0.8,0.9,cLH,10,4.8842,4.6779,95.78
TP_z19_01_s2,TP_z19_01,z,2,45,0.3,0.1,0.8,0.9,cLH,11,4.8129,4.2613,88.54
TP_z19_02,TP_z19_02,z,1,45,0.3,0.1,0.8,0.9,cLH,11,4.8143,4.1834,86.9
TP_z19_02_s2,TP_z19_02,z,2,45,0.3,0.1,0.8,0.9,cLH,10,4.9024,4.6863,95.59
TP_z19_03,TP_z19_03,z,1,45,0.3,0.1,0.8,0.9,cLH,10,4.9023,4.6816,95.5
TP_z19_03_s2,TP_z19_03,z,2,45,0.3,0.1,0.8,0.9,cLH,11,4.8175,4.2526,88.27
TP_z20_01,TP_z20_01,z,1,45,0.7,0.2,0.2,0.9,cLH,4,4.7527,4.3218,90.93
TP_z20_01_s2,TP_z20_01,z,2,45,0.7,0.2,0.2,0.9,cLH,10,4.8377,4.4686,92.37
TP_z20_02,TP_z20_02,z,1,45,0.7,0.2,0.2,0.9,cLH,2,4.7376,4.6663,98.5
TP_z20_02_s2,TP_z20_02,z,2,45,0.7,0.2,0.2,0.9,cLH,10,4.8073,4.45,92.57
TP_z20_03,TP_z20_03,z,1,45,0.7,0.2,0.2,0.9,cLH,4,4.7418,4.4059,92.92
TP_z20_03_s2,TP_z20_03,z,2,45,0.7,0.2,0.2,0.9,cLH,10,4.8383,4.4175,91.3
TP_z21_01,TP_z21_01,z,1,45,0.6,0.15,0.4,1.3,cLH,10,4.8376,4.4829,92.67
TP_z21_01_s2,TP_z21_01,z,2,45,0.6,0.15,0.4,1.3,cLH,10,4.8496,4.456,91.88
TP_z21_02,TP_z21_02,z,1,45,0.6,0.15,0.4,1.3,cLH,10,4.8539,4.4886,92.47
TP_z21_02_s2,TP_z21_02,z,2,45,0.6,0.15,0.4,1.3,cLH,10,4.8407,4.4491,91.91
TP_z21_03,TP_z21_03,z,1,45,0.6,0.15,0.4,1.3,cLH,10,4.8682,4.4961,92.36
TP_z21_03_s2,TP_z21_03,z,2,45,0.6,0.15,0.4,1.3,cLH,10,4.8279,4.4467,92.1
TP_z22_01,TP_z22_01,z,1,45,0.65,0.45,0.5,1.4,cLH,10,4.8044,4.3219,89.96
TP_z22_01_s2,TP_z22_01,z,2,45,0.65,0.45,0.5,1.4,cLH,11,4.8237,4.425,91.73
TP_z22_02,TP_z22_02,z,1,45,0.65,0.45,0.5,1.4,cLH,10,4.8319,4.3608,90.25
TP_z22_02_s2,TP_z22_02,z,2,45,0.65,0.45,0.5,1.4,cLH,11,4.833,4.4265,91.59
TP_z22_03,TP_z22_03,z,1,45,0.65,0.45,0.5,1.4,cLH,10,4.8074,4.3457,90.4
TP_z22_03_s2,TP_z22_03,z,2,45,0.65,0.45,0.5,1.4,cLH,11,4.8278,4.4224,91.6
TP_z23_01,TP_z23_01,z,1,45,0.8,0.05,0.9,1.6,cLH,2,4.7405,4.6698,98.51
TP_z23_01_s2,TP_z23_01,z,2,45,0.8,0.05,0.9,1.6,cLH,10,4.7491,4.2706,89.92
TP_z23_02,TP_z23_02,z,1,45,0.8,0.05,0.9,1.6,cLH,10,4.7714,4.2968,90.05
TP_z23_02_s2,TP_z23_02,z,2,45,0.8,0.05,0.9,1.6,cLH,3,4.7496,4.4757,94.23
TP_z23_03,TP_z23_03,z,1,45,0.8,0.05,0.9,1.6,cLH,4,4.7485,4.3078,90.72
TP_z23_03_s2,TP_z23_03,z,2,45,0.8,0.05,0.9,1.6,cLH,10,4.7891,4.3035,89.86
TP_z24_01,TP_z24_01,z,1,45,0.45,0.05,1.0,1.8,cLH,10,4.8232,4.3803,90.82
TP_z24_01_s2,TP_z24_01,z,2,45,0.45,0.05,1.0,1.8,cLH,11,4.8338,4.4198,91.44
TP_z24_02,TP_z24_02,z,1,45,0.45,0.05,1.0,1.8,cLH,10,4.7669,4.3659,91.59
TP_z24_02_s2,TP_z24_02,z,2,45,0.45,0.05,1.0,1.8,cLH,11,4.8097,4.4134,91.76
TP_z24_03,TP_z24_03,z,1,45,0.45,0.05,1.0,1.8,cLH,10,4.8504,4.4176,91.08
TP_z24_03_s2,TP_z24_03,z,2,45,0.45,0.05,1.0,1.8,cLH,11,4.8248,4.4231,91.67
TP_z25_01,TP_z25_01,z,1,45,0.6,0.15,0.9,1.9,cLH,10,4.8363,3.7724,78.0
TP_z25_02,TP_z25_02,z,1,45,0.6,0.15,0.9,1.9,cLH,10,4.8153,4.2433,88.12
TP_z25_03,TP_z25_03,z,1,45,0.6,0.15,0.9,1.9,cLH,10,4.8273,4.2387,87.81
